source,target,weight
50,51,0.0
56,298,0.668
61,320,0.659
44,333,0.37
41,325,0.488
17,333,0.49
204,323,0.325
27,94,0.0
65,304,0.351
10,320,0.495
61,314,0.528
39,315,0.382
21,180,0.319
39,298,0.504
48,324,0.519
69,306,0.424
25,322,0.327
70,146,0.33
37,322,0.442
110,169,0.0
14,326,0.549
23,304,0.377
29,322,0.363
15,340,0.335
68,324,0.735
160,325,0.321
10,41,0.0
35,329,0.351
249,275,0.0
66,298,0.758
198,327,0.319
51,317,0.512
24,307,0.454
68,317,0.681
23,301,0.33
56,327,0.596
37,331,0.351
46,332,0.418
